Device Name,Model,SSID,Agent Version,Serial Number,OS Version,Group Path,OS Build Number,Application Package,Application Name,Application Version 
UK-BOS-XT3-0621,XT3,TMEVENTS,28.57,2307410084,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0622,XT3,TMEVENTS,28.57,2307510121,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0622,XT3,TMEVENTS,28.57,2307510121,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.5.6-enterprise (310030506)
UK-BOS-XT3-0623,XT3,TMEVENTS,28.57,2307510109,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 25 - TRNSMT,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0591,XT3,TMEVENTS,28.57,2205910010,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.6.5-enterprise (310030605)
UK-BOS-XT3-0593,XT3,TMEVENTS,28.57,2205510262,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/TM1 Entry Events/TM1 Entry Event 15 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0600,XT3,TMEVENTS,28.57,2007010259,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0600,XT3,TMEVENTS,28.57,2007010259,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.7.5-enterprise (310030705)
UK-BOS-XT3-0602,XT3,TMEVENTS,28.59,2007710352,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.ticketmaster.blackbird.horizon,TM1 Entry,7.20.1 (2748)
UK-BOS-XT3-0603,XT3,TMEVENTS,28.59,2007010071,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0604,XT3,TMEVENTS,28.59,2314510124,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0605,XT3,LNVisitor,28.59,2007010254,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.7.4-enterprise (310030704)
UK-BOS-XT3-0606,XT3,LNVisitor,28.59,2111310353,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.ticketweb.scanner.xt2,TW CheckIn,2.3.0.837 (62)
UK-BOS-XT3-0606,XT3,LNVisitor,28.59,2111310353,9,Home/Regions/United Kingdom & Ireland/United Kingdom/Box Office Services/Universe Events/Universe Events 14 - Parklife 26,91.18 (Jul 10 2024),com.uniiverse.ticketmanager.enterprise,BoxOffice,3.7.4-enterprise (310030704)
